Validation: Loss: 0.855840	R: 0.382319
Validation: Loss: 0.854796	R: 0.380237
Validation: Loss: 0.859984	R: 0.384665
Validation: Loss: 0.867039	R: 0.384447
Validation: Loss: 0.852606	R: 0.381015
Validation: Loss: 0.863257	R: 0.385770
Validation: Loss: 0.850749	R: 0.383049
Validation: Loss: 0.852040	R: 0.381528
Validation: Loss: 0.853642	R: 0.384046
Validation: Loss: 0.847781	R: 0.384218
Validation: Loss: 0.860027	R: 0.385906
Validation: Loss: 0.852040	R: 0.382791
Validation: Loss: 0.852280	R: 0.381480
Validation: Loss: 0.868797	R: 0.382825
Validation: Loss: 0.856915	R: 0.379834
Validation: Loss: 0.849494	R: 0.381709
Validation: Loss: 0.856050	R: 0.384530
Validation: Loss: 0.853331	R: 0.382604
Validation: Loss: 0.854639	R: 0.382060
Validation: Loss: 0.858905	R: 0.384610
Validation: Loss: 0.857615	R: 0.384532
Validation: Loss: 0.865155	R: 0.382188
Validation: Loss: 0.846634	R: 0.384320
Validation: Loss: 0.875676	R: 0.383173
Validation: Loss: 0.862449	R: 0.383169
Validation: Loss: 0.858768	R: 0.386302
Validation: Loss: 0.886964	R: 0.373088
Validation: Loss: 0.847612	R: 0.385021
Validation: Loss: 0.881581	R: 0.365173
Validation: Loss: 0.837687	R: 0.371214
Validation: Loss: 0.846351	R: 0.371882
Validation: Loss: 0.846900	R: 0.368126
Validation: Loss: 0.855528	R: 0.370503
Validation: Loss: 0.851103	R: 0.372443
Validation: Loss: 0.835897	R: 0.375778
Validation: Loss: 0.840021	R: 0.369012
Validation: Loss: 0.855002	R: 0.372128
Validation: Loss: 0.846316	R: 0.378803
Validation: Loss: 0.838853	R: 0.378697
Validation: Loss: 0.826132	R: 0.390320
Validation: Loss: 0.830242	R: 0.389219
Validation: Loss: 0.814328	R: 0.407639
Validation: Loss: 0.799312	R: 0.409278
Validation: Loss: 0.803380	R: 0.402467
Validation: Loss: 0.808039	R: 0.407118
Validation: Loss: 0.852890	R: 0.411543
Validation: Loss: 0.804871	R: 0.425759
Validation: Loss: 0.805992	R: 0.412626
Validation: Loss: 0.792420	R: 0.409537
Validation: Loss: 0.800715	R: 0.418443
Validation: Loss: 0.799750	R: 0.413829
Validation: Loss: 0.821310	R: 0.409221
Validation: Loss: 0.801227	R: 0.412056
Validation: Loss: 0.813927	R: 0.412602
Validation: Loss: 0.785161	R: 0.436738
Validation: Loss: 0.797918	R: 0.419669
Validation: Loss: 0.798238	R: 0.417926
Validation: Loss: 0.809805	R: 0.414127
Validation: Loss: 0.785451	R: 0.426190
Validation: Loss: 0.860147	R: 0.413375
Validation: Loss: 0.863972	R: 0.416685
Validation: Loss: 0.810579	R: 0.418798
Validation: Loss: 0.832549	R: 0.427864
Validation: Loss: 0.895896	R: 0.428749
Validation: Loss: 0.806468	R: 0.445010
Validation: Loss: 0.797709	R: 0.440141
Validation: Loss: 0.788388	R: 0.438111
Validation: Loss: 0.777401	R: 0.454098
Validation: Loss: 0.802544	R: 0.453054
Validation: Loss: 0.781968	R: 0.452686
Validation: Loss: 0.819229	R: 0.445317
Validation: Loss: 0.789290	R: 0.446789
Validation: Loss: 0.793400	R: 0.457658
Validation: Loss: 0.770078	R: 0.459027
Validation: Loss: 0.778676	R: 0.468393
Validation: Loss: 0.786671	R: 0.470254
Validation: Loss: 0.788301	R: 0.467038
Validation: Loss: 0.884411	R: 0.455955
Validation: Loss: 0.785425	R: 0.466933
Validation: Loss: 0.751975	R: 0.478981
Validation: Loss: 0.829585	R: 0.458204
Validation: Loss: 0.771351	R: 0.474355
Validation: Loss: 0.772471	R: 0.476724
Validation: Loss: 0.775511	R: 0.475091
Validation: Loss: 0.790026	R: 0.469941
Validation: Loss: 0.868530	R: 0.473644
Validation: Loss: 0.741966	R: 0.490961
Validation: Loss: 0.767711	R: 0.475139
Validation: Loss: 0.865887	R: 0.478187
Validation: Loss: 0.775582	R: 0.487873
Validation: Loss: 0.754214	R: 0.476254
Validation: Loss: 0.818161	R: 0.472494
Validation: Loss: 0.793605	R: 0.480681
Validation: Loss: 0.808916	R: 0.490144
Validation: Loss: 0.751670	R: 0.502221
Validation: Loss: 0.764089	R: 0.477836
Validation: Loss: 0.782374	R: 0.465952
Validation: Loss: 0.750978	R: 0.475752
Validation: Loss: 0.732629	R: 0.494800
Validation: Loss: 0.774429	R: 0.505474
Validation: Loss: 0.767088	R: 0.479270
Validation: Loss: 0.769110	R: 0.482600
Validation: Loss: 0.726090	R: 0.495615
Validation: Loss: 0.756085	R: 0.481350
Validation: Loss: 0.784106	R: 0.490272
Validation: Loss: 0.764910	R: 0.475172
Validation: Loss: 0.789468	R: 0.489696
Validation: Loss: 0.737974	R: 0.488034
Validation: Loss: 0.772943	R: 0.496298
Validation: Loss: 0.718978	R: 0.510388
Validation: Loss: 0.721318	R: 0.511921
Validation: Loss: 0.809206	R: 0.504304
Validation: Loss: 0.805561	R: 0.493469
Validation: Loss: 0.753957	R: 0.476011
Validation: Loss: 0.755165	R: 0.472926
Validation: Loss: 0.785938	R: 0.471890
Validation: Loss: 0.732651	R: 0.487206
Validation: Loss: 0.751803	R: 0.467738
Validation: Loss: 0.744653	R: 0.487091
